,interview_code,sequences,transcripts_available
154,11397,"['topic_6_7', 'topic_9', 'topic_4', 'topic_10', 'topic_6', 'topic_18', 'topic_5', 'topic_4', 'topic_11', 'topic_2_6']",False
155,114,"['topic_4', 'topic_0']",False
156,11419,"['topic_8', 'topic_6_9_10', 'topic_4', 'topic_1']",False
157,11433,"['topic_6_9_10', 'topic_4', 'topic_5', 'topic_0_10']",False
158,11434,['topic_2'],False
159,11439,"['topic_8', 'topic_10', 'topic_4', 'topic_1', 'topic_6', 'topic_3', 'topic_8', 'topic_13']",False
160,11462,"['topic_21', 'topic_21', 'topic_8', 'topic_1_18', 'topic_10', 'topic_6_10', 'topic_4_11', 'topic_9', 'topic_3', 'topic_10_16', 'topic_15', 'topic_18', 'topic_9', 'topic_18', 'topic_11', 'topic_12', 'topic_0', 'topic_6', 'topic_9', 'topic_18', 'topic_6_12', 'topic_5', 'topic_13', 'topic_16', 'topic_13']",False
161,11465,"['topic_5_6_9', 'topic_10_21', 'topic_4', 'topic_3', 'topic_0', 'topic_10', 'topic_0_10']",False
162,11475,"['topic_4_6_8', 'topic_10', 'topic_0_7', 'topic_10', 'topic_9', 'topic_4_9', 'topic_4', 'topic_21', 'topic_6', 'topic_18', 'topic_5_20', 'topic_5', 'topic_21', 'topic_21', 'topic_1_2']",False
163,11477,"['topic_5_12', 'topic_5_6_12', 'topic_1_12_21']",False
164,11478,"['topic_6', 'topic_10', 'topic_4', 'topic_3', 'topic_1_12', 'topic_6', 'topic_12', 'topic_12', 'topic_6', 'topic_10', 'topic_6', 'topic_2']",False
165,11486,"['topic_1', 'topic_6', 'topic_4', 'topic_1', 'topic_1', 'topic_1', 'topic_1', 'topic_10', 'topic_10', 'topic_10', 'topic_1_10', 'topic_12', 'topic_21', 'topic_21', 'topic_10', 'topic_21', 'topic_9', 'topic_2_8', 'topic_2']",False
166,11488,"['topic_4_8', 'topic_10', 'topic_9', 'topic_4', 'topic_4_6', 'topic_6', 'topic_6', 'topic_5', 'topic_10', 'topic_18', 'topic_2']",False
167,11489,"['topic_10', 'topic_4', 'topic_3_4', 'topic_3', 'topic_12', 'topic_7', 'topic_7_21', 'topic_0', 'topic_20', 'topic_10', 'topic_0', 'topic_8_13']",False
168,11490,"['topic_3', 'topic_15', 'topic_9']",False
169,11508,"['topic_9', 'topic_4', 'topic_21', 'topic_0_7_18', 'topic_21', 'topic_10', 'topic_0_18', 'topic_6', 'topic_14', 'topic_15']",False
170,11518,"['topic_12', 'topic_10', 'topic_5', 'topic_1', 'topic_12', 'topic_5', 'topic_6', 'topic_0_18', 'topic_18', 'topic_6', 'topic_11', 'topic_5', 'topic_5', 'topic_3', 'topic_3', 'topic_15', 'topic_13', 'topic_13']",False
171,11527,"['topic_10', 'topic_12', 'topic_15', 'topic_13', 'topic_13', 'topic_3']",False
172,11538,"['topic_9', 'topic_3_6', 'topic_3', 'topic_6', 'topic_21', 'topic_1', 'topic_0', 'topic_18', 'topic_12', 'topic_12', 'topic_16', 'topic_2', 'topic_18']",False
173,11551,"['topic_3_4', 'topic_1', 'topic_12', 'topic_10', 'topic_6', 'topic_7', 'topic_1']",False
174,11554,"['topic_10', 'topic_4', 'topic_5_6', 'topic_0_10', 'topic_12']",False
175,11555,['topic_10'],False
176,11572,"['topic_4_8', 'topic_3', 'topic_6', 'topic_5', 'topic_10', 'topic_0', 'topic_10_21', 'topic_1', 'topic_7', 'topic_12', 'topic_0', 'topic_6_10', 'topic_10_15', 'topic_0', 'topic_15', 'topic_5_9', 'topic_7_21', 'topic_0', 'topic_8', 'topic_0_6', 'topic_0', 'topic_6']",False
177,11577,"['topic_9', 'topic_3_4', 'topic_10']",False
178,1158,"['topic_9', 'topic_9', 'topic_4', 'topic_3', 'topic_9', 'topic_3']",False
179,11590,"['topic_8', 'topic_4_10', 'topic_5', 'topic_4_6', 'topic_21']",False
180,11599,"['topic_5', 'topic_12', 'topic_6_18', 'topic_5', 'topic_6_7', 'topic_1', 'topic_15_18', 'topic_6', 'topic_5_15', 'topic_2', 'topic_12', 'topic_0', 'topic_20']",False
181,11609,"['topic_15', 'topic_10', 'topic_4', 'topic_6', 'topic_6', 'topic_1', 'topic_5', 'topic_12', 'topic_1', 'topic_12', 'topic_6', 'topic_10', 'topic_0', 'topic_12', 'topic_6', 'topic_3', 'topic_7', 'topic_12', 'topic_7', 'topic_12']",False
182,11616,"['topic_9', 'topic_9_10', 'topic_5', 'topic_4_18', 'topic_12', 'topic_2', 'topic_10', 'topic_10', 'topic_21', 'topic_19', 'topic_6']",False
183,11636,['topic_3'],False
184,11659,"['topic_4', 'topic_9', 'topic_1']",False
185,11661,"['topic_3', 'topic_1']",False
186,11664,"['topic_9', 'topic_5', 'topic_1', 'topic_2']",False
187,1168,"['topic_2', 'topic_6', 'topic_9_10', 'topic_9', 'topic_7', 'topic_6_10', 'topic_4', 'topic_3', 'topic_9', 'topic_1', 'topic_18', 'topic_12', 'topic_5', 'topic_6', 'topic_2', 'topic_7', 'topic_2', 'topic_12', 'topic_6', 'topic_16']",False
188,1170,"['topic_10', 'topic_4_5', 'topic_21', 'topic_0']",False
