,interview_code,sequences,transcripts_available
214,11078,"['topic_4', 'topic_1', 'topic_6', 'topic_18', 'topic_12', 'topic_20', 'topic_7_10', 'topic_6', 'topic_14', 'topic_0', 'topic_15', 'topic_3']",False
215,11083,"['topic_2_9_10', 'topic_1_4_10_11', 'topic_8_10_18']",False
216,11092,"['topic_8_10', 'topic_9', 'topic_10', 'topic_4']",False
217,11095,"['topic_9', 'topic_10', 'topic_4', 'topic_9', 'topic_1', 'topic_18', 'topic_5', 'topic_21', 'topic_10', 'topic_7_15', 'topic_6', 'topic_6', 'topic_21', 'topic_9', 'topic_21', 'topic_6', 'topic_11', 'topic_21', 'topic_18', 'topic_20', 'topic_10', 'topic_2_8']",False
218,111,"['topic_10', 'topic_4']",False
219,1110,"['topic_9', 'topic_9', 'topic_4', 'topic_5', 'topic_0', 'topic_7']",False
220,11117,"['topic_1', 'topic_1']",False
221,11118,"['topic_4', 'topic_1', 'topic_13']",False
222,11119,"['topic_10', 'topic_10', 'topic_8', 'topic_4', 'topic_11', 'topic_9', 'topic_9', 'topic_0']",False
223,11121,"['topic_5_9_10', 'topic_10', 'topic_4', 'topic_11', 'topic_5', 'topic_1_9', 'topic_6', 'topic_10', 'topic_9']",False
224,11124,"['topic_12_21', 'topic_2', 'topic_4', 'topic_3', 'topic_12', 'topic_1', 'topic_21', 'topic_21']",False
225,11125,"['topic_9_21', 'topic_4', 'topic_3', 'topic_10', 'topic_3', 'topic_13']",False
226,11130,"['topic_10', 'topic_4', 'topic_4', 'topic_3', 'topic_5', 'topic_6_9', 'topic_7_15', 'topic_2']",False
227,11133,"['topic_2_8_9', 'topic_4', 'topic_10']",True
228,11139,"['topic_8', 'topic_10', 'topic_9']",False
229,11149,"['topic_1', 'topic_1', 'topic_6', 'topic_2']",False
230,1115,"['topic_9', 'topic_12']",False
231,11152,"['topic_4', 'topic_7', 'topic_0', 'topic_7', 'topic_0', 'topic_12', 'topic_12', 'topic_7', 'topic_8']",False
232,11153,"['topic_10', 'topic_6', 'topic_4', 'topic_1', 'topic_18', 'topic_21', 'topic_5', 'topic_2', 'topic_2']",False
233,11157,"['topic_10', 'topic_1', 'topic_4', 'topic_5', 'topic_16_21', 'topic_2_10', 'topic_1_11_18', 'topic_1_18']",False
234,11166,"['topic_9', 'topic_4', 'topic_1', 'topic_17_21', 'topic_18', 'topic_18', 'topic_15', 'topic_10', 'topic_0', 'topic_9', 'topic_5', 'topic_10', 'topic_6', 'topic_10', 'topic_0_9', 'topic_8']",False
