,segment_lenght
48744,0 days 00:03:52.010000000
51611,0 days 00:04:33.150000000
52033,0 days 00:07:32.130000000
52402,0 days 00:05:04.050000000
52412,0 days 00:01:43.050000000
52422,0 days 00:02:45.850000000
52431,0 days 00:01:12.000000000
52435,0 days 00:03:16.920000000
52441,0 days 00:01:52.120000000
52447,0 days 00:01:35.120000000
52454,0 days 00:02:30.850000000
52460,0 days 00:01:55.940000000
53508,0 days 00:03:06.080000000
53516,0 days 00:04:15.100000000
53523,0 days 00:04:32.860000000
53535,0 days 00:04:49.070000000
53547,0 days 00:05:36.860000000
53568,0 days 00:03:17.970000000
53576,0 days 00:04:18.110000000
53583,0 days 00:02:51.010000000
53591,0 days 00:02:54.860000000
53600,0 days 00:05:04.170000000
53609,0 days 00:03:56.960000000
53614,0 days 00:00:20.980000000
53621,0 days 00:00:35.810000000
53627,0 days 00:01:10.280000000
53632,0 days 00:00:37.860000000
53637,0 days 00:00:21.870000000
53642,0 days 00:00:38.070000000
53647,0 days 00:00:41.200000000
53653,0 days 00:00:32.890000000
53658,0 days 00:00:50.920000000
53951,0 days 00:04:40.090000000
53964,0 days 00:02:16.990000000
53970,0 days 00:03:25.960000000
53977,0 days 00:05:08.980000000
53982,0 days 00:03:03.080000000
53990,0 days 00:07:31.030000000
55048,0 days 00:06:10.000000000
55056,0 days 00:06:20.740000000
55066,0 days 00:06:34.070000000
55076,0 days 00:04:01.930000000
55083,0 days 00:05:14.000000000
55101,0 days 00:07:56.170000000
55110,0 days 00:06:41.770000000
55128,0 days 00:04:45.060000000
56413,0 days 00:06:14.080000000
56435,0 days 00:06:32.060000000
56445,0 days 00:03:16.930000000
56453,0 days 00:04:03.870000000
57059,0 days 00:04:47.840000000
57078,0 days 00:06:10.060000000
57088,0 days 00:02:08.090000000
57093,0 days 00:04:15.910000000
57104,0 days 00:06:10.960000000
57404,0 days 00:05:48.050000000
57409,0 days 00:04:49.890000000
57422,0 days 00:04:50.910000000
57429,0 days 00:08:16.920000000
57437,0 days 00:04:41.210000000
58235,0 days 00:05:45.990000000
58242,0 days 00:06:03.960000000
58254,0 days 00:04:59.020000000
58261,0 days 00:03:37.050000000
58268,0 days 00:05:24.910000000
58278,0 days 00:06:24.870000000
58288,0 days 00:04:05.150000000
58298,0 days 00:05:49.930000000
58306,0 days 00:06:24.910000000
58313,0 days 00:03:00.200000000
58329,0 days 00:04:42.910000000
59453,0 days 00:06:00.950000000
59461,0 days 00:05:51.960000000
59474,0 days 00:03:09.000000000
59485,0 days 00:02:50.880000000
59490,0 days 00:03:42.110000000
59770,0 days 00:06:02.010000000
59781,0 days 00:04:28.010000000
